talk_id,title,speaker_1,views,recorded_date,published_date,event,comments,duration,Topics
1,Averting the climate crisis,Al Gore,3523392,25-02-2006,27-06-2006,TED2006,272,977,"alternative energy, cars, climate change, culture, environment, global issues, science, sustainability, technology"
2,Simple designs to save a life,Amy Smith,1724438,24-02-2006,15-08-2006,TED2006,101,906,"MacArthur grant, alternative energy, design, engineering, global issues, industrial design, invention, simplicity"
3,How to rebuild a broken state,Ashraf Ghani,981920,12-07-2005,18-10-2006,TEDGlobal 2005,75,1125,"business, corruption, culture, economics, entrepreneur, global issues, investment, military, global development, poverty, politics, policy"
4,The real future of space exploration,Burt Rutan,2427994,24-02-2006,25-10-2006,TED2006,196,1177,"NASA, aircraft, business, design, engineering, entrepreneur, flight, industrial design, invention, rocket science"
5,Great cars are great art,Chris Bangle,978483,02-02-2002,05-04-2007,TED2002,81,1204,"business, cars, design, industrial design, invention, technology, transportation, art"
6,Sampling the ocean's DNA,Craig Venter,637249,24-02-2005,05-04-2007,TEDGlobal 2005,35,1011,"DNA, biotech, entrepreneur, genetics, invention, oceans, science, technology, ecology, biology, biodiversity"
7,Simplicity sells,David Pogue,1920832,24-02-2006,27-06-2006,TED2006,124,1286,"computers, entertainment, interface design, media, music, performance, simplicity, software, technology"
8,A memorial at Ground Zero,David Rockwell,447096,02-02-2002,12-06-2007,TED2002,15,1477,"New York, architecture, cities, collaboration, culture, death, design, disaster relief, interview, memory, urban planning"
9,To invent is to give,Dean Kamen,803724,02-02-2002,05-04-2007,TED2002,134,1207,"business, cars, industrial design, innovation, invention, robots, science, social change, sustainability, technology, transportation"
10,The killer American diet that's sweeping the planet,Dean Ornish,2690694,23-02-2006,14-12-2006,TED2006,209,198,"culture, disease, food, global issues, health, health care, obesity, science"
11,What separates us from chimpanzees?,Jane Goodall,2066221,01-03-2003,05-04-2007,TED2003,165,1645,"Africa, animals, culture, environment, global issues, nature, primates, science"
12,Meet the future of cancer research,Eva Vertes,1141552,26-02-2005,02-10-2006,TED2005,227,1129,"cancer, disease, health, science, technology, wunderkind"
13,"A master architect asks, Now what?",Frank Gehry,1079444,28-02-2002,17-01-2008,TED2002,39,1320,"architecture, business, creativity, culture, design, interview, invention"
14,Software (as) art,Golan Levin,660919,27-02-2004,05-04-2007,TED2004,52,893,"art, entertainment, invention, music, performance, software, technology"
16,"Why we love, why we cheat",Helen Fisher,11430399,24-02-2006,06-09-2006,TED2006,605,1407,"cognitive science, culture, evolution, gender, love, psychology, relationships, science"
18,Biomimicry's surprising lessons from nature's engineers,Janine Benyus,2419765,24-02-2005,05-04-2007,TED2005,133,1399,"DNA, animals, biology, biomimicry, design, environment, evolution, fish, science, technology"
19,How technology evolves,Kevin Kelly,2060305,24-02-2005,14-11-2006,TED2005,160,1200,"choice, culture, evolution, future, history, philosophy, science, technology"
20,"Choice, happiness and spaghetti sauce",Malcolm Gladwell,8677098,26-02-2004,19-09-2006,TED2004,369,1050,"business, choice, consumerism, culture, economics, food, marketing, media, storytelling"
21,Meet the founder of the blog revolution,Mena Trott,565712,23-02-2006,25-08-2006,TED2006,52,1006,"business, communication, community, culture, design, entertainment, software, storytelling"
22,Why people believe weird things,Michael Shermer,7386359,23-02-2006,08-11-2006,TED2006,530,805,"culture, entertainment, faith, illusion, religion, science"
23,Fight injustice with raw video,Peter Gabriel,1000986,23-02-2006,06-12-2006,TED2006,54,848,"activism, collaboration, culture, film, global issues, music, social change, storytelling, art"
25,The birth of the open-source learning revolution,Richard Baraniuk,1137837,23-02-2006,21-08-2006,TED2006,109,1114,"business, collaboration, culture, global issues, library, open-source, technology"
26,If I controlled the Internet, Rives,2270892,30-11-2006,14-12-2006,TEDSalon 2006,99,247,"culture, entertainment, love, performance, philosophy, poetry"
27,"Organic design, inspired by nature",Ross Lovegrove,1272803,25-02-2005,15-08-2006,TED2005,168,1170,"DNA, biology, creativity, design, industrial design, invention, nature, product design, science and art"
28,How to get your ideas to spread,Seth Godin,6787797,27-02-2003,05-04-2007,TED2003,237,1021,"business, choice, culture, marketing, storytelling"
29,The freakonomics of crack dealing,Steven Levitt,4140957,27-02-2004,19-09-2006,TED2004,98,1275,"business, cities, culture, economics, race, narcotics"
30,Surprising stats about child carseats,Steven Levitt,1043341,12-07-2005,24-06-2008,TEDGlobal 2005,141,1138,"business, cars, culture, economics, parenting, statistics, transportation"
31,How architecture can connect us,Thom Mayne,837290,25-02-2005,05-04-2007,TED2005,51,1240,"architecture, cities, culture, design, invention"
32,"Art with wire, sugar, chocolate and string",Vik Muniz,1377588,27-02-2003,05-04-2007,TED2003,88,891,"Brazil, art, creativity, design, illusion, animation"
33,Let's rethink America's military strategy,Thomas Barnett,1338165,02-02-2005,14-06-2007,TED2005,307,1402,"culture, global issues, military, peace, technology, terrorism, war"
34,Photos of endangered cultures,Phil Borges,1045853,23-02-2006,09-01-2007,TED2006,62,1115,"activism, culture, design, film, global issues, photography, social change, storytelling, art, indigenous peoples"
35,How we discovered DNA,James Watson,1920813,02-02-2005,05-04-2007,TED2005,129,1211,"DNA, culture, genetics, history, invention, science, storytelling, technology"
36,The hidden world of shadow cities,Robert Neuwirth,868103,14-07-2005,02-01-2007,TEDGlobal 2005,88,843,"business, cities, culture, entrepreneur, future, global issues, social change, poverty, policy, global development"
37,The birth of Wikipedia,Jimmy Wales,1388802,14-07-2005,21-08-2006,TEDGlobal 2005,89,1201,"business, collaboration, culture, invention, media, open-source, technology, wikipedia"
38,The accelerating power of technology,Ray Kurzweil,2890159,24-02-2005,14-11-2006,TED2005,247,1376,"biotech, business, culture, future, invention, robots, science, technology"
39,A roadmap to end aging,Aubrey de Grey,4357286,14-07-2005,02-10-2006,TEDGlobal 2005,624,1365,"aging, biotech, disease, engineering, future, health care, science, technology"
40,The story of life in photographs,Frans Lanting,2100951,02-02-2005,05-04-2007,TED2005,154,977,"animals, art, design, evolution, fish, nature, photography, storytelling, global commons"
41,One Laptop per Child,Nicholas Negroponte,473268,23-02-2006,01-08-2006,TED2006,103,1057,"children, design, education, entrepreneur, global issues, philanthropy, social change, technology"
42,Is this our final century?,Martin Rees,2939152,14-07-2005,17-01-2007,TEDGlobal 2005,207,1046,"astronomy, climate change, complexity, cosmos, science, social change, technology, time, universe"
43,Design is in the details,Paul Bennett,942807,14-07-2005,05-04-2007,TEDGlobal 2005,30,850,"business, design, industrial design, product design"
44,A philosophical quest for our biggest problems,Nick Bostrom,974810,14-07-2005,05-04-2007,TEDGlobal 2005,138,1012,"biotech, culture, future, global issues, happiness, philosophy, technology"
45,An 11-year-old's magical violin,Sirena Huang,3207121,23-02-2006,08-08-2006,TED2006,339,1481,"entertainment, music, performance, violin, wunderkind, youth, live music"
46,"Improvising on piano, aged 14",Jennifer Lin,1818509,26-02-2004,08-08-2006,TED2004,316,1445,"creativity, entertainment, music, performance, piano, wunderkind, live music"
47,Chemical scum that dream of distant quasars,David Deutsch,2554136,14-07-2005,12-09-2006,TEDGlobal 2005,206,1140,"climate change, cosmos, culture, environment, global issues, physics, science, technology, universe"
48,Everyday inventions,Saul Griffith,583922,23-02-2006,19-02-2007,TED2006,28,869,"MacArthur grant, collaboration, design, innovation, invention, materials, open-source, product design, technology"
49,Behind the design of Seattle's library,Joshua Prince-Ramus,1208138,23-02-2006,10-07-2006,TED2006,48,1198,"architecture, collaboration, culture, design, library"
50,Happiness by design,Stefan Sagmeister,2199376,02-02-2004,05-04-2007,TED2004,89,930,"art, design, happiness, typography, graphic design"
51,Winning the oil endgame,Amory Lovins,1025147,02-02-2005,11-12-2007,TED2005,155,1184,"MacArthur grant, business, economics, energy, environment, green, science, technology"
53,Greening the ghetto,Majora Carter,2664069,26-02-2006,27-06-2006,TED2006,219,1116,"MacArthur grant, activism, business, cities, environment, green, inequality, politics, pollution"
54,My wish: A call for open-source architecture,Cameron Sinclair,1341358,26-02-2006,25-07-2006,TED2006,81,1414,"activism, architecture, collaboration, culture, design, disaster relief, global issues, invention, open-source, philanthropy"
55,My wish: A global day of film,Jehane Noujaim,460994,26-02-2006,25-07-2006,TED2006,59,1538,"TED Prize, culture, entertainment, film, global issues, peace, social change, storytelling, art, movies"
56,My wish: Manufactured landscapes and green education,Edward Burtynsky,1301501,17-02-2005,31-10-2006,TED2005,60,2065,"TED Prize, art, cities, culture, design, environment, photography, pollution, social change"
57,My wish: Three unusual medical inventions,Robert Fischell,521529,24-02-2005,31-10-2006,TED2005,33,1609,"TED Prize, business, disease, health care, invention, medicine, science, technology"
58,My wish: Help me stop pandemics,Larry Brilliant,1265297,23-02-2006,25-07-2006,TED2006,84,1550,"TED Prize, collaboration, disease, ebola, global issues, health, science, technology"
59,My wish: Three actions for Africa, Bono,835982,24-02-2005,31-10-2006,TED2005,113,1672,"AIDS, Africa, activism, entertainment, global issues, philanthropy, poverty, social change"
60,Four American characters,Anna Deavere Smith,1214012,25-02-2005,09-02-2007,TED2005,114,1385,"MacArthur grant, United States, culture, entertainment, history, interview, performance, performance art, race, sports, storytelling, theater"
61,"How the ""ghost map"" helped end a killer disease",Steven Johnson,863250,30-11-2006,31-01-2007,TEDSalon 2006,52,603,"cities, culture, design, health, history, map, science, urban planning, disease"
62,Global priorities bigger than climate change,Bjorn Lomborg,1706435,02-02-2005,02-01-2007,TED2005,529,1001,"AIDS, Africa, business, choice, climate change, culture, disaster relief, economics, environment, future"
63,The era of open innovation,Charles Leadbeater,1730835,14-07-2005,31-01-2007,TEDGlobal 2005,100,1141,"business, collaboration, culture, economics, innovation, invention, media, open-source, product design"
64,Happiness in body and soul,Eve Ensler,1329537,04-02-2004,06-09-2006,TED2004,121,1225,"culture, entertainment, gender, global issues, happiness, performance, storytelling, theater, women"
65,The radical promise of the multi-touch interface,Jeff Han,4796806,06-02-2006,01-08-2006,TED2006,242,527,"demo, design, interface design, technology"
66,Do schools kill creativity?,Sir Ken Robinson,65051954,25-02-2006,27-06-2006,TED2006,4931,1164,"children, creativity, culture, dance, education, parenting, teaching"
67,How juries are fooled by statistics,Peter Donnelly,1287967,14-07-2005,08-11-2006,TEDGlobal 2005,109,1280,"culture, genetics, science, statistics, technology"
68,Progress is not a zero-sum game,Robert Wright,1777327,02-02-2006,17-01-2007,TED2006,140,1151,"culture, global issues, war, collaboration, evolutionary psychology"
69,Dreams from endangered cultures,Wade Davis,4091467,03-02-2003,09-01-2007,TED2003,398,1321,"anthropology, culture, environment, film, global issues, language, photography, indigenous peoples"
70,8 secrets of success,Richard St. John,14580918,23-02-2005,14-12-2006,TED2005,642,210,"business, culture, entertainment, happiness, psychology, success, work"
71,A life of purpose,Rick Warren,3998282,25-02-2006,18-07-2006,TED2006,930,1262,"Christianity, God, culture, happiness, leadership, motivation, philanthropy, religion"
72,Technology's long tail,Chris Anderson,1058574,02-02-2004,27-04-2007,TED2004,42,858,"business, culture, economics, entertainment, marketing, technology"
73,In praise of slowness,Carl Honoré,3051168,07-07-2005,28-02-2007,TEDGlobal 2005,255,1155,"choice, culture, happiness, health, parenting, personal growth, potential, psychology, work-life balance"
74,The route to a sustainable future,Alex Steffen,1746570,07-07-2005,05-04-2007,TEDGlobal 2005,107,1054,"alternative energy, business, cities, collaboration, culture, design, environment, global issues, invention, sustainability"
75,Why we should invest in a free press,Sasa Vucinic,658021,14-07-2005,18-10-2006,TEDGlobal 2005,43,1080,"business, culture, global issues, investment, media, philanthropy"
76,The gentle genius of bonobos,Susan Savage-Rumbaugh,2785153,02-02-2004,05-04-2007,TED2004,346,1045,"animals, apes, biology, culture, evolution, genetics, intelligence, language"
77,The shrimp with a kick!,Sheila Patek,1675050,25-02-2004,05-04-2007,TED2004,65,985,"biology, biomechanics, oceans, online video, science, technology"
78,Visual illusions that show how we (mis)think,Al Seckel,2475216,26-02-2004,05-04-2007,TED2004,95,873,"brain, cognitive science, culture, design, illusion, psychology"
79,How mobile phones can fight poverty,Iqbal Quadir,593410,13-07-2005,10-10-2006,TEDGlobal 2005,77,952,"alternative energy, business, communication, culture, global issues, invention, investment, microfinance, poverty, technology, telecom, transportation, global development"
80,The life code that will reshape the future,Juan Enriquez,834566,02-02-2003,05-04-2007,TED2003,51,1340,"DNA, biotech, business, culture, genetics, invention, science, technology"
81,"Singing ""What I Want""",Nora York,440504,14-12-2006,05-04-2007,TEDSalon 2006,44,276,"entertainment, live music, music, poetry, singer, performance"
82,"Luke, a new prosthetic arm for soldiers",Dean Kamen,1882679,09-03-2007,28-08-2007,TED2007,109,310,"culture, demo, global issues, health care, invention, peace, prosthetics, science, technology, war"
83,My wish: Build the Encyclopedia of Life,E.O. Wilson,1607366,08-03-2007,03-04-2007,TED2007,90,1355,"TED Prize, ants, biodiversity, biology, global issues, insects, nature, science, technology, ecology"
84,My wish: Let my photographs bear witness,James Nachtwey,1656033,08-03-2007,03-04-2007,TED2007,118,1316,"activism, culture, global issues, media, photography, poverty, social change, storytelling, art, war"
85,My wish: Rebuilding Rwanda,Bill Clinton,936832,08-03-2007,03-04-2007,TED2007,106,1447,"Africa, TED Prize, business, culture, economics, global issues, health care, technology"
86,Letting go of God,Julia Sweeney,4636596,24-02-2006,10-07-2006,TED2006,980,992,"Christianity, God, atheism, comedy, culture, performance, religion, storytelling, humor"
87,Nerdcore comedy,Ze Frank,7049090,24-02-2004,25-08-2006,TED2004,193,1136,"collaboration, comedy, community, culture, dance, demo, entertainment, software, performance, humor"
89,Why did I ski to the North Pole?,Ben Saunders,924205,24-02-2005,25-10-2006,TED2005,64,1083,"climate change, culture, exploration, global issues, personal growth, potential, sports, technology, travel"
90,Unleash your creativity in a Fab Lab,Neil Gershenfeld,875953,02-02-2006,19-02-2007,TED2006,65,1038,"computers, culture, engineering, invention, materials, science, social change, technology, education, code"
91,Invest in Africa's own solutions,Jacqueline Novogratz,1031469,01-07-2005,10-10-2006,TEDGlobal 2005,60,773,"business, culture, entrepreneur, investment, microfinance, philanthropy, poverty, global development"
92,The best stats you've ever seen,Hans Rosling,14501685,22-02-2006,27-06-2006,TED2006,628,1190,"Africa, Asia, Google, demo, economics, global issues, health, statistics, global development, visualizations, math"
93,The paradox of choice,Barry Schwartz,14372033,15-07-2005,26-09-2006,TEDGlobal 2005,1065,1177,"business, choice, culture, decision-making, economics, happiness, personal growth, potential, psychology"
94,Let's teach religion -- all religion -- in schools,Dan Dennett,3781244,02-02-2006,18-07-2006,TED2006,919,1485,"God, atheism, brain, cognitive science, consciousness, evolution, philosophy, religion"
97,The surprising science of happiness,Dan Gilbert,18645468,02-02-2004,26-09-2006,TED2004,1051,1276,"brain, choice, culture, evolution, happiness, psychology, science"
98,Why the universe seems so strange,Richard Dawkins,4032164,07-07-2005,12-09-2006,TEDGlobal 2005,533,1316,"astronomy, biology, cognitive science, cosmos, evolution, physics, psychology, science"
99,"Global warming's theme song, ""Manhattan in January""",Jill Sobule,720170,26-02-2006,06-04-2007,TED2006,39,163,"climate change, environment, guitar, music, performance, vocals, live music"
101,Casting a spell on the cello,Caroline Lavelle,480892,02-02-2005,06-04-2007,TED2005,34,459,"cello, entertainment, music, performance, vocals, live music"
102,The illusion of consciousness,Dan Dennett,3978946,27-02-2003,06-04-2007,TED2003,535,1308,"brain, consciousness, culture, entertainment, illusion, self, visualizations"
103,How to truly listen,Evelyn Glennie,5955653,02-02-2003,06-04-2007,TED2003,321,1929,"creativity, entertainment, live music, music, performance"
104,Cradle to cradle design,William McDonough,1896812,02-02-2005,06-04-2007,TED2005,235,1205,"architecture, business, china, cities, culture, design, environment, global issues, sustainability, technology"
105,The electricity metaphor for the web's future,Jeff Bezos,1709903,02-02-2003,09-04-2007,TED2003,62,1031,"business, entrepreneur, history, innovation, invention, technology, web, electricity"
108,A mockingbird remix of TED2006, Rives,823273,02-02-2006,09-04-2007,TED2006,58,251,"entertainment, memory, performance, poetry, spoken word, storytelling"
109,"""What You've Got""",Eddi Reader,519326,02-02-2003,14-04-2007,TED2003,51,312,"composing, entertainment, guitar, music, performance art, piano, potential, vocals, performance, live music"
110,"""Kiteflyer's Hill""",Eddi Reader,577966,02-02-2003,14-04-2007,TED2003,75,378,"composing, entertainment, guitar, memory, music, performance, piano, live music"
112,Why would God create a tsunami?,Tom Honey,686498,02-02-2005,16-04-2007,TED2005,601,1172,"God, culture, disaster relief, global issues, natural disaster, philosophy, religion"
113,Militant atheism,Richard Dawkins,5788514,02-02-2002,16-04-2007,TED2002,6449,1750,"God, atheism, culture, religion, science"
114,A comic sendup of TED2006,Tom Rielly,695092,02-02-2006,16-04-2007,TED2006,50,1195,"comedy, culture, performance, humor"
115,"""La Vie en Rose""",Rachelle Garniez,478074,02-02-2004,16-04-2007,TED2004,39,201,"entertainment, live music, music, performance"
116,Dangerous memes,Dan Dennett,1966957,02-02-2002,02-07-2007,TED2002,405,926,"culture, faith, meme, philosophy, religion"
117,Cape Breton fiddling in reel time,Natalie MacMaster,835896,02-02-2002,01-05-2007,TED2002,69,311,"entertainment, history, music, performance, violin, live music"
118,The genesis of Google,Sergey Brin,1832547,02-02-2004,03-05-2007,TED2004,63,1233,"Google, business, collaboration, culture, design, technology, web"
119,"""Black Men Ski""", Stew,677169,03-03-2006,07-05-2007,TED2006,75,277,"culture, entertainment, live music, music, performance, poetry, race, sports"
121,The ghastly tragedy of the suburbs,James Howard Kunstler,2085779,02-02-2004,12-05-2007,TED2004,359,1184,"alternative energy, architecture, cars, cities, consumerism, culture, design, energy, transportation"
122,Human-centered design,David Kelley,1074003,02-02-2002,15-05-2007,TED2002,35,1020,"collaboration, creativity, culture, design, museums, philanthropy, water, science and art"
123,What squatter cities can teach us,Stewart Brand,1108933,02-02-2006,17-05-2007,TED2006,101,185,"business, cities, culture, future, global issues, poverty, technology, urban planning"
125,How brain science will change computing,Jeff Hawkins,1683291,02-02-2003,21-05-2007,TED2003,244,1211,"AI, brain, cognitive science, computers, intelligence, memory, science, technology"
126,Swim with the giant sunfish,Tierney Thys,1373015,02-02-2003,21-05-2007,TED2003,92,1001,"animals, biodiversity, climate change, environment, fish, global issues, oceans, science, technology, marine biology"
127,Want to help Africa? Do business here,Ngozi Okonjo-Iweala,1368359,03-03-2007,30-05-2007,TED2007,134,1213,"business, corruption, global issues, investment, women, women in business"
128,Salvation (and profit) in greentech,John Doerr,1145381,03-03-2007,27-05-2007,TED2007,297,1072,"climate change, environment, global issues, green, investment, sustainability, technology"
